"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"EQ_ANC","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","17.7","17.70000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2011","AMR","ARG","EDLVL06TO11YR","","","95.7","95.70000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2011","AMR","ARG","EDLVL12PLUSYR","","","97.3","97.30000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2011","AMR","ARG","","","WQ1","91.6","91.60000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2011","AMR","ARG","","","WQ2","94.7","94.70000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2011","AMR","ARG","","","WQ3","93.6","93.60000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2011","AMR","ARG","","","WQ4","96.0","96.00000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2011","AMR","ARG","","","WQ5","99.3","99.30000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","","66.9","66.90000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2000","EUR","ARM","","URB","","84.6","84.60000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2000","EUR","ARM","","RUR","","46.9","46.90000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2000","EUR","ARM","EDLVL06TO11YR","","","80.8","80.80000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2000","EUR","ARM","EDLVL12PLUSYR","","","87.1","87.10000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","WQ1","76.9","76.90000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","WQ2","85.0","85.00000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","WQ3","85.6","85.60000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","WQ4","80.9","80.90000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","WQ5","93.1","93.10000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","","71.9","71.90000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2005","EUR","ARM","","URB","","81.8","81.80000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2005","EUR","ARM","","RUR","","54.8","54.80000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2005","EUR","ARM","EDLVL00TO05YR","","","78.5","78.50000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2005","EUR","ARM","EDLVL06TO11YR","","","79.8","79.80000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2010","EMR","AFG","","URB","","37.1","37.10000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2010","EMR","AFG","","RUR","","13.3","13.30000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2010","EMR","AFG","EDLVL00TO05YR","","","32.0","32.00000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2010","EMR","AFG","EDLVL06TO11YR","","","61.0","61.00000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2010","EMR","AFG","EDLVL12PLUSYR","","","53.8","53.80000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","WQ1","24.0","24.00000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","WQ2","30.5","30.50000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","WQ3","33.8","33.80000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","WQ4","52.2","52.20000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","WQ5","51.4","51.40000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2008","EUR","ALB","","","","67.2","67.20000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2008","EUR","ALB","","URB","","82.3","82.30000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2008","EUR","ALB","","RUR","","57.2","57.20000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2008","EUR","ALB","EDLVL00TO05YR","","","30.1","30.10000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2008","EUR","ALB","EDLVL06TO11YR","","","76.9","76.90000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2008","EUR","ALB","EDLVL12PLUSYR","","","89.3","89.30000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2008","EUR","ALB","","","WQ1","66.0","66.00000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2008","EUR","ALB","","","WQ2","72.3","72.30000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2008","EUR","ALB","","","WQ3","89.2","89.20000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2008","EUR","ALB","","","WQ4","86.8","86.80000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2008","EUR","ALB","","","WQ5","95.4","95.40000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2011","AMR","ARG","","","","94.6","94.60000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2011","AMR","ARG","","URB","","94.6","94.60000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2011","AMR","ARG","EDLVL00TO05YR","","","89.6","89.60000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2005","EUR","ARM","EDLVL12PLUSYR","","","86.9","86.90000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","WQ4","76.2","76.20000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","WQ1","63.2","63.20000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","WQ2","81.7","81.70000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","WQ3","78.1","78.10000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","WQ4","88.9","88.90000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","WQ5","88.1","88.10000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","","94.7","94.70000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2010","EUR","ARM","","URB","","97.0","97.00000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2010","EUR","ARM","","RUR","","91.4","91.40000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2010","EUR","ARM","EDLVL06TO11YR","","","96.4","96.40000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2010","EUR","ARM","EDLVL12PLUSYR","","","97.2","97.20000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","WQ1","94.8","94.80000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","WQ2","97.6","97.60000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","WQ3","96.7","96.70000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","WQ4","97.2","97.20000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","WQ5","97.6","97.60000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","","47.0","47.00000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2006","EUR","AZE","","URB","","63.0","63.00000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2006","EUR","AZE","","RUR","","30.4","30.40000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2006","EUR","AZE","EDLVL00TO05YR","","","48.8","48.80000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2006","EUR","AZE","EDLVL06TO11YR","","","54.4","54.40000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2006","EUR","AZE","EDLVL12PLUSYR","","","76.6","76.60000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","WQ1","32.1","32.10000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","WQ2","53.1","53.10000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","WQ3","61.9","61.90000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","WQ5","78.2","78.20000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1993","SEAR","BGD","","","","5.2","5.20000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1993","SEAR","BGD","","URB","","26.8","26.80000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1993","SEAR","BGD","","RUR","","2.8","2.80000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1993","SEAR","BGD","EDLVL00TO05YR","","","8.8","8.80000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1993","SEAR","BGD","EDLVL06TO11YR","","","51.3","51.30000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1993","SEAR","BGD","EDLVL12PLUSYR","","","79.6","79.60000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1993","SEAR","BGD","","","WQ1","5.5","5.50000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1993","SEAR","BGD","","","WQ2","4.1","4.10000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1993","SEAR","BGD","","","WQ3","11.5","11.50000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1993","SEAR","BGD","","","WQ4","32.5","32.50000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1993","SEAR","BGD","","","WQ5","61.7","61.70000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1996","SEAR","BGD","","","","5.5","5.50000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1996","SEAR","BGD","","URB","","28.0","28.00000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1996","SEAR","BGD","","RUR","","3.3","3.30000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1996","SEAR","BGD","EDLVL00TO05YR","","","9.4","9.40000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1996","SEAR","BGD","EDLVL06TO11YR","","","50.1","50.10000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1996","SEAR","BGD","EDLVL12PLUSYR","","","77.4","77.40000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1996","SEAR","BGD","","","WQ1","1.4","1.40000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1996","SEAR","BGD","","","WQ2","5.4","5.40000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1996","SEAR","BGD","","","WQ3","16.6","16.60000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1996","SEAR","BGD","","","WQ4","25.6","25.60000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1996","SEAR","BGD","","","WQ5","68.6","68.60000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1999","SEAR","BGD","","","","10.0","10.00000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1999","SEAR","BGD","","RUR","","5.8","5.80000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2007","SEAR","BGD","EDLVL06TO11YR","","","46.5","46.50000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1999","SEAR","BGD","EDLVL00TO05YR","","","13.2","13.20000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1999","SEAR","BGD","EDLVL06TO11YR","","","44.3","44.30000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1999","SEAR","BGD","EDLVL12PLUSYR","","","84.2","84.20000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1999","SEAR","BGD","","","WQ1","5.6","5.60000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1999","SEAR","BGD","","","WQ2","9.9","9.90000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1999","SEAR","BGD","","","WQ3","18.7","18.70000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1999","SEAR","BGD","","","WQ4","39.6","39.60000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1999","SEAR","BGD","","","WQ5","67.0","67.00000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2004","SEAR","BGD","","","","15.1","15.10000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2004","SEAR","BGD","","URB","","33.5","33.50000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2004","SEAR","BGD","","RUR","","10.3","10.30000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2004","SEAR","BGD","EDLVL00TO05YR","","","16.3","16.30000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2004","SEAR","BGD","EDLVL06TO11YR","","","54.3","54.30000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2004","SEAR","BGD","EDLVL12PLUSYR","","","85.1","85.10000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2004","SEAR","BGD","","","WQ1","8.7","8.70000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2004","SEAR","BGD","","","WQ2","13.4","13.40000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2004","SEAR","BGD","","","WQ3","22.1","22.10000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2004","SEAR","BGD","","","WQ4","45.9","45.90000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2004","SEAR","BGD","","","WQ5","70.6","70.60000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2007","SEAR","BGD","","","","19.1","19.10000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2007","SEAR","BGD","","URB","","37.4","37.40000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2007","SEAR","BGD","","RUR","","14.2","14.20000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2007","SEAR","BGD","EDLVL00TO05YR","","","17.2","17.20000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1999","SEAR","BGD","","URB","","30.0","30.00000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2007","SEAR","BGD","EDLVL12PLUSYR","","","78.9","78.90000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2007","SEAR","BGD","","","WQ1","8.5","8.50000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2007","SEAR","BGD","","","WQ2","17.4","17.40000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2007","SEAR","BGD","","","WQ3","30.4","30.40000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2007","SEAR","BGD","","","WQ4","42.3","42.30000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2007","SEAR","BGD","","","WQ5","72.8","72.80000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2011","SEAR","BGD","","","","19.9","19.90000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2011","SEAR","BGD","","URB","","39.8","39.80000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2011","SEAR","BGD","","RUR","","13.9","13.90000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2011","SEAR","BGD","EDLVL00TO05YR","","","19.2","19.20000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2011","SEAR","BGD","EDLVL06TO11YR","","","46.1","46.10000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2011","SEAR","BGD","EDLVL12PLUSYR","","","79.2","79.20000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2011","SEAR","BGD","","","WQ1","14.5","14.50000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2011","SEAR","BGD","","","WQ2","24.3","24.30000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2011","SEAR","BGD","","","WQ3","31.0","31.00000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2011","SEAR","BGD","","","WQ4","40.7","40.70000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2011","SEAR","BGD","","","WQ5","74.2","74.20000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2012","AMR","BRB","","","","98.7","98.70000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2012","AMR","BRB","","URB","","98.9","98.90000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2012","AMR","BRB","","RUR","","98.5","98.50000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2012","AMR","BRB","EDLVL06TO11YR","","","100.0","100.00000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2012","AMR","BRB","EDLVL12PLUSYR","","","97.7","97.70000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2012","AMR","BRB","","","WQ1","96.8","96.80000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2012","AMR","BRB","","","WQ2","100.0","100.00000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2012","AMR","BRB","","","WQ3","100.0","100.00000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2012","AMR","BRB","","","WQ4","100.0","100.00000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2012","AMR","BRB","","","WQ5","100.0","100.00000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2012","EUR","BLR","","","","99.7","99.70000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2012","EUR","BLR","","URB","","100.0","100.00000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2012","EUR","BLR","","RUR","","98.8","98.80000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2012","EUR","BLR","EDLVL00TO05YR","","","100.0","100.00000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2012","EUR","BLR","EDLVL06TO11YR","","","100.0","100.00000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2012","EUR","BLR","EDLVL12PLUSYR","","","100.0","100.00000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2012","EUR","BLR","","","WQ1","100.0","100.00000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2012","EUR","BLR","","","WQ2","100.0","100.00000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2012","EUR","BLR","","","WQ3","100.0","100.00000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2012","EUR","BLR","","","WQ4","100.0","100.00000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2012","EUR","BLR","","","WQ5","100.0","100.00000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2011","AMR","BLZ","","","","90.1","90.10000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2011","AMR","BLZ","","URB","","94.4","94.40000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2011","AMR","BLZ","","RUR","","87.4","87.40000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2011","AMR","BLZ","EDLVL00TO05YR","","","92.1","92.10000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2011","AMR","BLZ","EDLVL06TO11YR","","","96.4","96.40000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2011","AMR","BLZ","EDLVL12PLUSYR","","","94.1","94.10000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2011","AMR","BLZ","","","WQ1","91.4","91.40000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2011","AMR","BLZ","","","WQ2","92.8","92.80000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2011","AMR","BLZ","","","WQ3","96.3","96.30000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2011","AMR","BLZ","","","WQ4","96.3","96.30000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2011","AMR","BLZ","","","WQ5","97.8","97.80000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1996","AFR","BEN","","","","54.2","54.20000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1996","AFR","BEN","","URB","","63.4","63.40000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2006","AFR","BEN","EDLVL06TO11YR","","","87.3","87.30000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2006","AFR","BEN","EDLVL12PLUSYR","","","93.4","93.40000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2006","AFR","BEN","","","WQ1","34.9","34.90000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2006","AFR","BEN","","","WQ2","54.4","54.40000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2006","AFR","BEN","","","WQ3","75.2","75.20000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2006","AFR","BEN","","","WQ4","85.7","85.70000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2006","AFR","BEN","","","WQ5","90.2","90.20000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2011","AFR","BEN","","","","60.1","60.10000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2011","AFR","BEN","","URB","","70.1","70.10000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2011","AFR","BEN","","RUR","","53.4","53.40000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2011","AFR","BEN","EDLVL00TO05YR","","","63.8","63.80000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2011","AFR","BEN","EDLVL06TO11YR","","","84.3","84.30000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2011","AFR","BEN","EDLVL12PLUSYR","","","90.5","90.50000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2011","AFR","BEN","","","WQ1","38.3","38.30000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2011","AFR","BEN","","","WQ2","52.5","52.50000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2011","AFR","BEN","","","WQ3","75.8","75.80000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2011","AFR","BEN","","","WQ4","81.3","81.30000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2011","AFR","BEN","","","WQ5","85.6","85.60000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2010","SEAR","BTN","","","","77.7","77.70000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2010","SEAR","BTN","","URB","","87.4","87.40000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2010","SEAR","BTN","","RUR","","73.7","73.70000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2010","SEAR","BTN","EDLVL00TO05YR","","","83.7","83.70000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2010","SEAR","BTN","EDLVL06TO11YR","","","91.8","91.80000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2010","SEAR","BTN","EDLVL12PLUSYR","","","90.3","90.30000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2010","SEAR","BTN","","","WQ1","84.5","84.50000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1996","AFR","BEN","","RUR","","49.8","49.80000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1996","AFR","BEN","EDLVL00TO05YR","","","59.7","59.70000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1996","AFR","BEN","EDLVL06TO11YR","","","82.7","82.70000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1996","AFR","BEN","EDLVL12PLUSYR","","","100.0","100.00000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1996","AFR","BEN","","","WQ1","32.3","32.30000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1996","AFR","BEN","","","WQ2","55.1","55.10000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1996","AFR","BEN","","","WQ3","70.3","70.30000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1996","AFR","BEN","","","WQ4","70.0","70.00000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1996","AFR","BEN","","","WQ5","88.4","88.40000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2001","AFR","BEN","","","","61.6","61.60000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2001","AFR","BEN","","URB","","72.8","72.80000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2001","AFR","BEN","","RUR","","56.0","56.00000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2001","AFR","BEN","EDLVL00TO05YR","","","67.5","67.50000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2001","AFR","BEN","EDLVL06TO11YR","","","90.5","90.50000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2001","AFR","BEN","EDLVL12PLUSYR","","","100.0","100.00000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2001","AFR","BEN","","","WQ1","41.5","41.50000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2001","AFR","BEN","","","WQ2","64.7","64.70000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2001","AFR","BEN","","","WQ3","74.8","74.80000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2001","AFR","BEN","","","WQ4","83.8","83.80000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2001","AFR","BEN","","","WQ5","92.9","92.90000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2006","AFR","BEN","","","","60.9","60.90000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2006","AFR","BEN","","URB","","71.8","71.80000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2006","AFR","BEN","","RUR","","54.9","54.90000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2006","AFR","BEN","EDLVL00TO05YR","","","67.4","67.40000","","",""
"EQ_ANC","EQ_MICS","PUBLISHED","2010","SEAR","BTN","","","WQ2","82.2","82.20000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","1998","AMR","BOL","","","WQ5","83.5","83.50000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2003","AMR","BOL","","","","58.3","58.30000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2003","AMR","BOL","","URB","","68.5","68.50000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2003","AMR","BOL","","RUR","","42.6","42.60000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2003","AMR","BOL","EDLVL00TO05YR","","","48.5","48.50000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2003","AMR","BOL","EDLVL06TO11YR","","","69.1","69.10000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2003","AMR","BOL","EDLVL12PLUSYR","","","86.9","86.90000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2003","AMR","BOL","","","WQ1","49.6","49.60000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2003","AMR","BOL","","","WQ2","54.8","54.80000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2003","AMR","BOL","","","WQ3","65.6","65.60000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2003","AMR","BOL","","","WQ4","74.4","74.40000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2003","AMR","BOL","","","WQ5","88.8","88.80000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2008","AMR","BOL","","","","72.1","72.10000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2008","AMR","BOL","","URB","","81.6","81.60000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2008","AMR","BOL","","RUR","","59.3","59.30000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2008","AMR","BOL","EDLVL00TO05YR","","","69.9","69.90000","","",""
"EQ_ANC","EQ_DHS","PUBLISHED","2008","AMR","BOL","EDLVL06TO11YR","","","78.3","78.30000","","",""
