"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"GDO_q12x2x1x1_3PUB","PUBLISHED","2017","EMR","QAT","not applicable","","","",""
"GDO_q12x2x1x1_3PUB","PUBLISHED","2017","AFR","TGO","No","","","",""
"GDO_q12x2x1x1_3PUB","PUBLISHED","2017","AMR","DOM","not applicable","","","",""
"GDO_q12x2x1x1_3PUB","PUBLISHED","2017","SEAR","BGD","Yes","","","",""
"GDO_q12x2x1x1_3PUB","PUBLISHED","2017","EUR","ITA","Yes","","","",""
"GDO_q12x2x1x1_3PUB","PUBLISHED","2017","SEAR","MMR","not applicable","","","",""
"GDO_q12x2x1x1_3PUB","PUBLISHED","2017","WPR","JPN","Yes","","","",""
"GDO_q12x2x1x1_3PUB","PUBLISHED","2017","EUR","NLD","Yes","","","",""
"GDO_q12x2x1x1_3PUB","PUBLISHED","2017","AFR","MUS","No","","","",""
"GDO_q12x2x1x1_3PUB","PUBLISHED","2017","AMR","CHL","Yes","","","",""
"GDO_q12x2x1x1_3PUB","PUBLISHED","2017","EMR","JOR","not applicable","","","",""
"GDO_q12x2x1x1_3PUB","PUBLISHED","2017","EMR","TUN","not applicable","","","",""
"GDO_q12x2x1x1_3PUB","PUBLISHED","2017","EUR","FRA","Yes","","","",""
"GDO_q12x2x1x1_3PUB","PUBLISHED","2017","EUR","SWE","Yes","","","",""
"GDO_q12x2x1x1_3PUB","PUBLISHED","2017","WPR","AUS","No","","","",""
"GDO_q12x2x1x1_3PUB","PUBLISHED","2017","AFR","SWZ","not applicable","","","",""
"GDO_q12x2x1x1_3PUB","PUBLISHED","2017","SEAR","MDV","not applicable","","","",""
"GDO_q12x2x1x1_3PUB","PUBLISHED","2017","WPR","FJI","not applicable","","","",""
"GDO_q12x2x1x1_3PUB","PUBLISHED","2017","EUR","CHE","No","","","",""
"GDO_q12x2x1x1_3PUB","PUBLISHED","2017","EUR","HUN","not applicable","","","",""
"GDO_q12x2x1x1_3PUB","PUBLISHED","2017","AMR","CRI","Yes","","","",""
