"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"O_Ins_community","PUBLISHED","2007","EMR","AFG","Not applicable","","","",""
"O_Ins_community","PUBLISHED","2008","EMR","AFG","Not applicable","","","",""
"O_Ins_community","PUBLISHED","2010","EMR","AFG","Not applicable","","","",""
"O_Ins_community","PUBLISHED","2012","EMR","AFG","Not applicable","","","",""
"O_Ins_community","PUBLISHED","2014","EMR","AFG","Not applicable","","","",""
"O_Ins_community","PUBLISHED","2016","EMR","AFG","Not applicable","","","",""
"O_Ins_community","PUBLISHED","2018","EMR","AFG","Not applicable","","","",""
"O_Ins_community","PUBLISHED","2007","AFR","AGO","Not applicable","","","",""
"O_Ins_community","PUBLISHED","2008","AFR","AGO","Not applicable","","","",""
"O_Ins_community","PUBLISHED","2010","AFR","AGO","Not applicable","","","",""
"O_Ins_community","PUBLISHED","2012","AFR","AGO","Not applicable","","","",""
"O_Ins_community","PUBLISHED","2014","AFR","AGO","Not applicable","","","",""
"O_Ins_community","PUBLISHED","2016","AFR","AGO","Not applicable","","","",""
"O_Ins_community","PUBLISHED","2018","AFR","AGO","Not applicable","","","",""
"O_Ins_community","PUBLISHED","2007","EUR","ALB","Data not available","","","",""
"O_Ins_community","PUBLISHED","2008","EUR","ALB","Data not available","","","",""
"O_Ins_community","PUBLISHED","2010","EUR","ALB","Data not available","","","",""
"O_Ins_community","PUBLISHED","2012","EUR","ALB","Data not available","","","",""
"O_Ins_community","PUBLISHED","2014","EUR","ALB","Not applicable","","","",""
"O_Ins_community","PUBLISHED","2016","EUR","ALB","Not applicable","","","",""
"O_Ins_community","PUBLISHED","2018","EUR","ALB","Not applicable","","","",""
"O_Ins_community","PUBLISHED","2007","EUR","AND","Data not available","","","",""
"O_Ins_community","PUBLISHED","2008","EUR","AND","Data not available","","","",""
"O_Ins_community","PUBLISHED","2010","EUR","AND","Data not available","","","",""
"O_Ins_community","PUBLISHED","2012","EUR","AND","Data not available","","","",""
"O_Ins_community","PUBLISHED","2014","EUR","AND","Data not available","","","",""
"O_Ins_community","PUBLISHED","2016","EUR","AND","Data not available","","","",""
"O_Ins_community","PUBLISHED","2018","EUR","AND","Data not available","","","",""
"O_Ins_community","PUBLISHED","2007","EMR","ARE","Not applicable","","","",""
"O_Ins_community","PUBLISHED","2008","EMR","ARE","Partially","","","",""
"O_Ins_community","PUBLISHED","2010","EMR","ARE","Partially","","","",""
"O_Ins_community","PUBLISHED","2012","EMR","ARE","Partially","","","",""
"O_Ins_community","PUBLISHED","2014","EMR","ARE","Partially","","","",""
"O_Ins_community","PUBLISHED","2016","EMR","ARE","Partially","","","",""
"O_Ins_community","PUBLISHED","2018","EMR","ARE","Partially","","","",""
"O_Ins_community","PUBLISHED","2007","AMR","ARG","No","","","",""
"O_Ins_community","PUBLISHED","2008","AMR","ARG","No","","","",""
"O_Ins_community","PUBLISHED","2010","AMR","ARG","No","","","",""
"O_Ins_community","PUBLISHED","2012","AMR","ARG","No","","","",""
"O_Ins_community","PUBLISHED","2014","AMR","ARG","Partially","","","",""
"O_Ins_community","PUBLISHED","2016","AMR","ARG","Partially","","","",""
"O_Ins_community","PUBLISHED","2018","AMR","ARG","Partially","","","",""
"O_Ins_community","PUBLISHED","2007","EUR","ARM","Data not available","","","",""
"O_Ins_community","PUBLISHED","2008","EUR","ARM","Data not available","","","",""
"O_Ins_community","PUBLISHED","2010","EUR","ARM","Data not available","","","",""
"O_Ins_community","PUBLISHED","2012","EUR","ARM","Data not available","","","",""
"O_Ins_community","PUBLISHED","2014","EUR","ARM","Data not available","","","",""
"O_Ins_community","PUBLISHED","2016","EUR","ARM","Data not available","","","",""
"O_Ins_community","PUBLISHED","2018","EUR","ARM","Data not available","","","",""
"O_Ins_community","PUBLISHED","2007","AMR","ATG","Not applicable","","","",""
"O_Ins_community","PUBLISHED","2008","AMR","ATG","Not applicable","","","",""
"O_Ins_community","PUBLISHED","2010","AMR","ATG","Not applicable","","","",""
"O_Ins_community","PUBLISHED","2012","AMR","ATG","Not applicable","","","",""
"O_Ins_community","PUBLISHED","2014","AMR","ATG","Not applicable","","","",""
"O_Ins_community","PUBLISHED","2016","AMR","ATG","Not applicable","","","",""
