"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"MEDS5010200","PUBLISHED","2007","EUR","WB_LMI","AZE","Yes","0.00000","","",""
"MEDS5010200","PUBLISHED","2007","EUR","WB_HI","BEL","Yes","0.00000","","",""
"MEDS5010200","PUBLISHED","2007","EMR","WB_HI","BHR","Yes","0.00000","","",""
"MEDS5010200","PUBLISHED","2011","AMR","WB_LMI","BLZ","No","0.00000","","",""
"MEDS5010200","PUBLISHED","2011","AMR","WB_LMI","BOL","Yes","0.00000","","",""
"MEDS5010200","PUBLISHED","2009","AMR","WB_HI","BRB","No","0.00000","","",""
"MEDS5010200","PUBLISHED","2011","EUR","WB_HI","CHE","Yes","0.00000","","",""
"MEDS5010200","PUBLISHED","2002","AMR","WB_UMI","CRI","Yes","0.00000","","",""
"MEDS5010200","PUBLISHED","2003","EUR","WB_HI","HRV","Yes","0.00000","","",""
"MEDS5010200","PUBLISHED","2011","AMR","WB_UMI","URY","Yes","0.00000","","",""
"MEDS5010200","PUBLISHED","2011","AMR","WB_UMI","DOM","Yes","0.00000","","",""
"MEDS5010200","PUBLISHED","2007","EMR","WB_LMI","EGY","Yes","0.00000","","",""
"MEDS5010200","PUBLISHED","2007","EUR","WB_HI","EST","Yes","0.00000","","",""
"MEDS5010200","PUBLISHED","2007","EUR","WB_HI","FIN","Yes","0.00000","","",""
"MEDS5010200","PUBLISHED","2011","AMR","WB_UMI","GRD","Yes","0.00000","","",""
"MEDS5010200","PUBLISHED","1999","AMR","WB_LMI","GTM","Yes","0.00000","","",""
"MEDS5010200","PUBLISHED","2000","SEAR","WB_LMI","IDN","Yes","0.00000","","",""
"MEDS5010200","PUBLISHED","2007","SEAR","WB_LMI","IND","Yes","0.00000","","",""
"MEDS5010200","PUBLISHED","2003","EMR","WB_LMI","JOR","Yes","0.00000","","",""
"MEDS5010200","PUBLISHED","2011","AMR","WB_UMI","KNA","No","0.00000","","",""
"MEDS5010200","PUBLISHED","2011","EMR","WB_UMI","LBN","Yes","0.00000","","",""
"MEDS5010200","PUBLISHED","2007","EMR","WB_LMI","MAR","Yes","0.00000","","",""
"MEDS5010200","PUBLISHED","2005","EUR","WB_LMI","MDA","Yes","0.00000","","",""
"MEDS5010200","PUBLISHED","2011","EUR","WB_HI","MLT","Yes","0.00000","","",""
"MEDS5010200","PUBLISHED","2008","EUR","WB_UMI","MNE","Yes","0.00000","","",""
"MEDS5010200","PUBLISHED","2011","AMR","WB_LMI","NIC","Yes","0.00000","","",""
"MEDS5010200","PUBLISHED","1979","SEAR","WB_LI","NPL","Yes","0.00000","","",""
"MEDS5010200","PUBLISHED","2011","AMR","WB_UMI","PAN","Yes","0.00000","","",""
"MEDS5010200","PUBLISHED","2009","AMR","WB_UMI","PER","Yes","0.00000","","",""
"MEDS5010200","PUBLISHED","2007","WPR","WB_LMI","PHL","Yes","0.00000","","",""
"MEDS5010200","PUBLISHED","1993","EUR","WB_HI","PRT","Yes","0.00000","","",""
"MEDS5010200","PUBLISHED","1986","EMR","WB_HI","QAT","Yes","0.00000","","",""
"MEDS5010200","PUBLISHED","2011","EMR","WB_HI","SAU","Yes","0.00000","","",""
"MEDS5010200","PUBLISHED","2011","AMR","WB_LMI","SLV","Yes","0.00000","","",""
"MEDS5010200","PUBLISHED","2007","EUR","WB_LI","TJK","Yes","0.00000","","",""
"MEDS5010200","PUBLISHED","2011","AMR","WB_HI","TTO","Yes","0.00000","","",""
"MEDS5010200","PUBLISHED","2007","EMR","WB_LMI","TUN","Yes","0.00000","","",""
"MEDS5010200","PUBLISHED","2011","EUR","WB_UMI","TUR","Yes","0.00000","","",""
"MEDS5010200","PUBLISHED","1996","EUR","WB_LMI","UKR","Yes","0.00000","","",""
"MEDS5010200","PUBLISHED","2010","EUR","WB_LI","UZB","Yes","0.00000","","",""
"MEDS5010200","PUBLISHED","2011","AMR","WB_UMI","VCT","No","0.00000","","",""
"MEDS5010200","PUBLISHED","2011","AFR","WB_LI","ZWE","Yes","0.00000","","",""
