"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"O_Avail_hosp","PUBLISHED","2007","EMR","AFG","No","","","",""
"O_Avail_hosp","PUBLISHED","2008","EMR","AFG","No","","","",""
"O_Avail_hosp","PUBLISHED","2010","EMR","AFG","No","","","",""
"O_Avail_hosp","PUBLISHED","2012","EMR","AFG","No","","","",""
"O_Avail_hosp","PUBLISHED","2014","EMR","AFG","No","","","",""
"O_Avail_hosp","PUBLISHED","2016","EMR","AFG","No","","","",""
"O_Avail_hosp","PUBLISHED","2018","EMR","AFG","No","","","",""
"O_Avail_hosp","PUBLISHED","2007","AFR","AGO","No","","","",""
"O_Avail_hosp","PUBLISHED","2008","AFR","AGO","No","","","",""
"O_Avail_hosp","PUBLISHED","2010","AFR","AGO","No","","","",""
"O_Avail_hosp","PUBLISHED","2012","AFR","AGO","No","","","",""
"O_Avail_hosp","PUBLISHED","2014","AFR","AGO","No","","","",""
"O_Avail_hosp","PUBLISHED","2016","AFR","AGO","No","","","",""
"O_Avail_hosp","PUBLISHED","2018","AFR","AGO","Yes in some","","","",""
"O_Avail_hosp","PUBLISHED","2007","EUR","ALB","No","","","",""
"O_Avail_hosp","PUBLISHED","2008","EUR","ALB","No","","","",""
"O_Avail_hosp","PUBLISHED","2010","EUR","ALB","No","","","",""
"O_Avail_hosp","PUBLISHED","2012","EUR","ALB","No","","","",""
"O_Avail_hosp","PUBLISHED","2014","EUR","ALB","No","","","",""
"O_Avail_hosp","PUBLISHED","2016","EUR","ALB","No","","","",""
"O_Avail_hosp","PUBLISHED","2018","EUR","ALB","No","","","",""
"O_Avail_hosp","PUBLISHED","2007","EUR","AND","Yes in some","","","",""
"O_Avail_hosp","PUBLISHED","2008","EUR","AND","Yes in some","","","",""
"O_Avail_hosp","PUBLISHED","2010","EUR","AND","Yes in some","","","",""
"O_Avail_hosp","PUBLISHED","2012","EUR","AND","Yes in some","","","",""
"O_Avail_hosp","PUBLISHED","2014","EUR","AND","Yes in some","","","",""
"O_Avail_hosp","PUBLISHED","2016","EUR","AND","Yes in some","","","",""
"O_Avail_hosp","PUBLISHED","2018","EUR","AND","Yes in some","","","",""
"O_Avail_hosp","PUBLISHED","2007","EMR","ARE","No","","","",""
"O_Avail_hosp","PUBLISHED","2008","EMR","ARE","Yes in most","","","",""
"O_Avail_hosp","PUBLISHED","2010","EMR","ARE","Yes in most","","","",""
"O_Avail_hosp","PUBLISHED","2012","EMR","ARE","Yes in most","","","",""
"O_Avail_hosp","PUBLISHED","2014","EMR","ARE","Yes in most","","","",""
"O_Avail_hosp","PUBLISHED","2016","EMR","ARE","Yes in most","","","",""
"O_Avail_hosp","PUBLISHED","2018","EMR","ARE","No","","","",""
"O_Avail_hosp","PUBLISHED","2007","AMR","ARG","Yes in some","","","",""
"O_Avail_hosp","PUBLISHED","2008","AMR","ARG","Yes in some","","","",""
"O_Avail_hosp","PUBLISHED","2010","AMR","ARG","Yes in some","","","",""
"O_Avail_hosp","PUBLISHED","2012","AMR","ARG","Yes in some","","","",""
"O_Avail_hosp","PUBLISHED","2014","AMR","ARG","Yes in most","","","",""
"O_Avail_hosp","PUBLISHED","2016","AMR","ARG","Yes in most","","","",""
"O_Avail_hosp","PUBLISHED","2018","AMR","ARG","Yes in most","","","",""
"O_Avail_hosp","PUBLISHED","2007","EUR","ARM","No","","","",""
"O_Avail_hosp","PUBLISHED","2008","EUR","ARM","No","","","",""
"O_Avail_hosp","PUBLISHED","2010","EUR","ARM","No","","","",""
"O_Avail_hosp","PUBLISHED","2012","EUR","ARM","No","","","",""
"O_Avail_hosp","PUBLISHED","2014","EUR","ARM","No","","","",""
"O_Avail_hosp","PUBLISHED","2016","EUR","ARM","No","","","",""
"O_Avail_hosp","PUBLISHED","2018","EUR","ARM","No","","","",""
"O_Avail_hosp","PUBLISHED","2007","AMR","ATG","No","","","",""
"O_Avail_hosp","PUBLISHED","2008","AMR","ATG","No","","","",""
"O_Avail_hosp","PUBLISHED","2010","AMR","ATG","No","","","",""
"O_Avail_hosp","PUBLISHED","2012","AMR","ATG","No","","","",""
"O_Avail_hosp","PUBLISHED","2014","AMR","ATG","No","","","",""
"O_Avail_hosp","PUBLISHED","2016","AMR","ATG","No","","","",""
"O_Avail_hosp","PUBLISHED","2018","AMR","ATG","No","","","",""
"O_Avail_hosp","PUBLISHED","2007","WPR","AUS","Yes in most","","","",""
"O_Avail_hosp","PUBLISHED","2008","WPR","AUS","Yes in most","","","",""
"O_Avail_hosp","PUBLISHED","2010","WPR","AUS","Yes in most","","","",""
"O_Avail_hosp","PUBLISHED","2012","WPR","AUS","Yes in most","","","",""
"O_Avail_hosp","PUBLISHED","2014","WPR","AUS","Yes in most","","","",""
"O_Avail_hosp","PUBLISHED","2016","WPR","AUS","Yes in most","","","",""
"O_Avail_hosp","PUBLISHED","2018","WPR","AUS","Yes in most","","","",""
"O_Avail_hosp","PUBLISHED","2007","EUR","AUT","Yes in some","","","",""
"O_Avail_hosp","PUBLISHED","2008","EUR","AUT","Yes in some","","","",""
"O_Avail_hosp","PUBLISHED","2010","EUR","AUT","Yes in some","","","",""
"O_Avail_hosp","PUBLISHED","2012","EUR","AUT","Yes in some","","","",""
"O_Avail_hosp","PUBLISHED","2014","EUR","AUT","Yes in some","","","",""
"O_Avail_hosp","PUBLISHED","2016","EUR","AUT","Yes in some","","","",""
"O_Avail_hosp","PUBLISHED","2018","EUR","AUT","Yes in some","","","",""
"O_Avail_hosp","PUBLISHED","2007","EUR","AZE","No","","","",""
"O_Avail_hosp","PUBLISHED","2008","EUR","AZE","No","","","",""
"O_Avail_hosp","PUBLISHED","2010","EUR","AZE","No","","","",""
"O_Avail_hosp","PUBLISHED","2012","EUR","AZE","No","","","",""
"O_Avail_hosp","PUBLISHED","2014","EUR","AZE","No","","","",""
"O_Avail_hosp","PUBLISHED","2016","EUR","AZE","No","","","",""
"O_Avail_hosp","PUBLISHED","2018","EUR","AZE","No","","","",""
"O_Avail_hosp","PUBLISHED","2007","AFR","BDI","No","","","",""
"O_Avail_hosp","PUBLISHED","2008","AFR","BDI","No","","","",""
"O_Avail_hosp","PUBLISHED","2010","AFR","BDI","No","","","",""
"O_Avail_hosp","PUBLISHED","2012","AFR","BDI","No","","","",""
"O_Avail_hosp","PUBLISHED","2014","AFR","BDI","No","","","",""
"O_Avail_hosp","PUBLISHED","2016","AFR","BDI","No","","","",""
